lago,fecha,bloque_fila,bloque_columna,x,y,b03,b04,b05,b08,ndci,ndvi,ndwi,proporcion_agua,proporcion_tierra,proporcion_otro,chl_a_estimada,pixeles_validos,alta_cianobacteria,id_bloque
amatitlan,2025-01-28,1599,764,764500.0,1599500.0,0.11022144,0.109049596,0.13119824,0.23070152,0.10706169,0.353847,-0.34561232,0.0,0.7668,0.2332,6.5054255,2500,0,amatitlan_1599_764
amatitlan,2025-01-28,1599,765,765500.0,1599500.0,0.10121332,0.09840884,0.118252955,0.21730107,0.1178067,0.3814163,-0.35992363,0.0004,0.6892,0.3104,7.3558407,2500,0,amatitlan_1599_765
amatitlan,2025-01-28,1599,766,766500.0,1599500.0,0.09813548,0.09279368,0.11968424,0.2334007,0.15079433,0.43140844,-0.39927498,0.0,0.7508,0.2492,7.6189547,2500,0,amatitlan_1599_766
amatitlan,2025-01-28,1599,767,767500.0,1599500.0,0.06883008,0.0502048,0.08111804,0.24958748,0.24560562,0.65848553,-0.556791,0.0,0.9988,0.0012,12.688338,2500,1,amatitlan_1599_767
amatitlan,2025-01-28,1599,768,768500.0,1599500.0,0.06368911,0.04044222,0.07159,0.23517734,0.28162202,0.69498074,-0.5578398,0.0022222222222222222,0.9933333333333333,0.0044444444444444444,16.146551,450,1,amatitlan_1599_768
amatitlan,2025-01-28,1600,754,754500.0,1600500.0,0.15084355,0.15598436,0.15573436,0.17718063,0.013457468,0.0770238,-0.086801365,0.23,0.14909090909090908,0.6209090909090909,3.9886923,1100,0,amatitlan_1600_754
amatitlan,2025-01-28,1600,755,755500.0,1600500.0,0.13693625,0.13720173,0.14414461,0.1945942,0.057678062,0.20613141,-0.19289248,0.1024,0.4028,0.4948,5.1251025,2500,0,amatitlan_1600_755
amatitlan,2025-01-28,1600,756,756500.0,1600500.0,0.0929432,0.087035,0.10098296,0.17594348,0.10886826,0.3660874,-0.31834593,0.0088,0.7252,0.266,6.217891,2500,0,amatitlan_1600_756
amatitlan,2025-01-28,1600,757,757500.0,1600500.0,0.0649412,0.04564332,0.06870276,0.18747328,0.20897068,0.6026645,-0.4731374,0.0,0.9964,0.0036,9.458126,2500,0,amatitlan_1600_757
amatitlan,2025-01-28,1600,758,758500.0,1600500.0,0.0878638,0.076089926,0.09681368,0.21143277,0.15679044,0.48665082,-0.4172502,0.0012,0.8848,0.114,8.5673685,2500,0,amatitlan_1600_758
amatitlan,2025-01-28,1600,759,759500.0,1600500.0,0.08885632,0.086414,0.10808456,0.20977864,0.12927823,0.42176354,-0.39802408,0.0112,0.93,0.0588,6.5837607,2500,0,amatitlan_1600_759
amatitlan,2025-01-28,1600,760,760500.0,1600500.0,0.06497248,0.051025398,0.058898523,0.0802698,0.0575164,-0.02609863,0.17468926,0.6472,0.2952,0.0576,5.1174088,2500,0,amatitlan_1600_760
amatitlan,2025-01-28,1600,761,761500.0,1600500.0,0.060057383,0.041663826,0.04877759,0.060261868,0.070219524,-0.09311896,0.28240812,0.7883153261304522,0.18527410964385754,0.026410564225690276,5.4403267,2499,0,amatitlan_1600_761
amatitlan,2025-01-28,1600,762,762500.0,1600500.0,0.0879548,0.07594884,0.096686795,0.18326548,0.13222595,0.2871907,-0.1910847,0.2596,0.6448,0.0956,7.33534,2500,0,amatitlan_1600_762
amatitlan,2025-01-28,1600,763,763500.0,1600500.0,0.1669514,0.17939577,0.187283,0.23321468,0.045969926,0.16475604,-0.19645157,0.0556,0.2916,0.6528,4.868863,2500,0,amatitlan_1600_763
amatitlan,2025-01-28,1600,764,764500.0,1600500.0,0.11695636,0.11582061,0.13820295,0.23918384,0.1041115,0.346063,-0.3363928,0.0024,0.7052,0.2924,5.982742,2500,0,amatitlan_1600_764
